Subcategoría,margen_promedio,ganancia_total,ventas_total,cantidad_total
Accessories,0.21820967741935485,41936.6357,167380.318,2976
Appliances,-0.15686933714830711,18138.005400000002,107532.16100000001,1729
Art,0.2516457286432161,6527.787,27118.792,3000
Binders,-0.19959509739549136,30221.7633,203412.733,5974
Bookcases,-0.12664006830802496,-3472.556,114879.9963,868
Chairs,0.0438996295438759,26590.1663,328449.103,2356
Copiers,0.3171936274509804,55617.8249,149528.03,234
Envelopes,0.4231397637795275,6964.1767,16476.402,906
Fasteners,0.2991705069124424,949.5182,3024.28,914
Furnishings,0.13706635318704286,13059.1436,91705.164,3563
Labels,0.4296634615384616,5546.254,12486.312,1400
Machines,-0.07202622498274672,3384.7569,189238.631,440
Paper,0.4256003649635036,34053.5693,78479.206,5178
Phones,0.11922197225346831,44515.7306,330007.054,3289
Storage,0.08911347517730496,21278.8264,223843.608,3158
Supplies,0.11203947368421054,-1189.0995,46673.538,647
Tables,-0.147726526347216,-17725.4811,206965.532,1241
