Región,Estado,Ventas
Central,Illinois,80166.101
Central,Indiana,53555.36
Central,Iowa,4579.76
Central,Kansas,2914.31
Central,Michigan,76269.614
Central,Minnesota,29863.15
Central,Missouri,22205.15
Central,Nebraska,7464.93
Central,North Dakota,919.91
Central,Oklahoma,19683.39
Central,South Dakota,1315.56
Central,Texas,170188.0458
Central,Wisconsin,32114.61
East,Connecticut,13384.357
East,Delaware,27451.069
East,District of Columbia,2865.02
East,Maine,1270.53
East,Maryland,23705.523
East,Massachusetts,28634.434
East,New Hampshire,7292.524
East,New Jersey,35764.312
East,New York,310876.271
East,Ohio,78258.136
East,Pennsylvania,116511.914
East,Rhode Island,22627.956
East,Vermont,8929.369999999999
East,West Virginia,1209.824
South,Alabama,19510.64
South,Arkansas,11678.13
South,Florida,89473.708
South,Georgia,49095.84
South,Kentucky,36591.75
South,Louisiana,9217.03
South,Mississippi,10771.34
South,North Carolina,55603.164
South,South Carolina,8481.71
South,Tennessee,30661.873
South,Virginia,70636.72
West,Arizona,35282.001
West,California,457687.6315
West,Colorado,32108.118
West,Idaho,4382.486
West,Montana,5589.352
West,Nevada,16729.102
West,New Mexico,4783.522
West,Oregon,17431.15
West,Utah,11220.056
West,Washington,138641.27
West,Wyoming,1603.136
