Region,Ciudad,Ventas_Totales
Central,Houston,64504.76039999994
Central,Chicago,48539.541000000034
Central,Detroit,42446.94400000002
Central,San Antonio,21843.528000000002
Central,Dallas,20131.932199999992
Central,Lafayette,19630.449999999997
Central,Minneapolis,16870.54
Central,Jackson,15420.035999999998
Central,Springfield,15051.380000000001
Central,Milwaukee,11410.220000000001
Central,Indianapolis,9306.419999999998
Central,Columbus,7960.399999999999
Central,Aurora,7572.968000000001
Central,Huntsville,6710.616800000001
Central,Fort Worth,6602.7064
Central,Oklahoma City,6596.819999999999
Central,Omaha,6312.530000000001
Central,Richmond,6235.150000000001
Central,Austin,6057.982000000001
Central,Arlington,5847.772
Central,Tulsa,5556.97
Central,Madison,5346.790000000002
Central,Midland,5291.512
Central,Round Rock,4854.0528
Central,Franklin,4774.25
Central,Lakeville,4260.95
Central,Kenosha,3906.73
Central,Amarillo,3773.0628
Central,El Paso,3546.0639999999994
Central,Plano,3530.3746
Central,Decatur,3169.473
Central,Rockford,3166.228
Central,Noblesville,3091.1800000000003
Central,Columbia,2990.04
Central,Roseville,2853.85
Central,Pasadena,2477.4579999999996
Central,Broken Arrow,2439.53
Central,Independence,2417.37
Central,Carrollton,2200.6459999999997
Central,Westland,2057.976
Central,Highland Park,2035.096
Central,Des Moines,2008.84
Central,Rochester,1957.4
Central,Trenton,1765.1950000000002
Central,Evanston,1753.799
Central,Muskogee,1721.7
Central,Dubuque,1687.3
Central,Appleton,1671.31
Central,Greenwood,1665.0500000000002
Central,Saint Charles,1659.6499999999999
Central,Eau Claire,1645.65
Central,Lansing,1610.2860000000003
Central,Dearborn,1603.31
Central,Bloomington,1567.74
Central,Lawrence,1545.13
Central,Pharr,1540.708
Central,Des Plaines,1493.212
Central,Norman,1351.3300000000002
Central,Saint Cloud,1331.82
Central,Carol Stream,1305.81
Central,Superior,1299.73
Central,Brownsville,1292.2268
Central,Richardson,1288.4640000000002
Central,Naperville,1288.3029999999999
Central,South Bend,1238.3300000000002
Central,Sioux Falls,1137.42
Central,Fremont,1119.01
Central,Lawton,1057.4899999999998
Central,La Porte,1051.7320000000002
Central,Dearborn Heights,1051.57
Central,Laredo,1024.34
Central,Grand Prairie,1012.486
Central,Odessa,976.124
Central,Edmond,959.55
Central,Fargo,919.91
Central,Olathe,895.79
Central,Elmhurst,891.6279999999999
Central,Ann Arbor,889.273
Central,Maple Grove,882.87
Central,League City,875.368
Central,Mcallen,866.7159999999999
Central,Woodstock,857.2500000000001
Central,Buffalo Grove,831.399
Central,La Crosse,830.41
Central,Wichita,825.27
Central,Canton,818.13
Central,Texas City,790.972
Central,Mishawaka,776.24
Central,Wheeling,737.142
Central,Port Arthur,737.0527999999999
Central,Saint Peters,697.16
Central,Park Ridge,685.0
Central,San Angelo,650.636
Central,Bryan,616.656
Central,Woodbury,607.65
Central,Overland Park,606.91
Central,Waco,606.1072
Central,Irving,605.5
Central,Lubbock,592.5640000000001
Central,Oak Park,591.0519999999999
Central,Skokie,568.832
Central,Mansfield,558.877
Central,Moorhead,543.86
Central,Green Bay,527.32
Central,Grand Rapids,526.13
Central,Coon Rapids,503.13
Central,Peoria,501.48
Central,Pearland,494.996
Central,Beaumont,472.11600000000004
Central,Harlingen,471.404
Central,Saginaw,395.85999999999996
Central,Lincoln Park,387.602
Central,Normal,366.744
Central,Marion,358.36000000000007
Central,Taylor,353.7
Central,Tyler,347.206
Central,Orland Park,339.96
Central,Quincy,330.284
Central,Oswego,321.978
Central,Wausau,317.47999999999996
Central,Garden City,312.38000000000005
Central,College Station,291.04200000000003
Central,Allen,290.20599999999996
Central,Saint Louis,285.96000000000004
Central,Cedar Rapids,278.4
Central,Manhattan,273.96
Central,Haltom City,269.32800000000003
Central,West Allis,250.48000000000002
Central,Kirkwood,241.34
Central,Bedford,226.25600000000003
Central,Corpus Christi,220.544
Central,Bolingbrook,218.308
Central,Freeport,215.82
Central,Eagan,214.28
Central,New Albany,209.55
Central,Saint Paul,192.82999999999998
Central,Elkhart,171.43
Central,Gladstone,164.34
Central,Glenview,158.376
Central,Rapid City,152.64000000000001
Central,Champaign,151.96
Central,Urbandale,149.12
Central,Cottage Grove,144.35999999999999
Central,The Colony,142.16
Central,Apple Valley,137.94
Central,Holland,137.86
Central,Coppell,135.936
Central,Rochester Hills,132.52
Central,Cedar Hill,122.376
Central,Palatine,116.312
Central,Conroe,111.672
Central,Sterling Heights,110.03999999999999
Central,San Marcos,108.44399999999999
Central,Frankfort,97.632
Central,Edinburg,88.27600000000001
Central,Jefferson City,86.62
Central,New Castle,84.61
Central,Sheboygan,79.74000000000001
Central,Garland,67.704
Central,Frisco,57.504
Central,Burlington,57.43
Central,Waukesha,54.5
Central,Mesquite,52.147999999999996
Central,Danville,43.372
Central,Grapevine,41.528
Central,Royal Oak,35.34
Central,Waterloo,30.32
Central,Aberdeen,25.5
Central,Tinley Park,22.288
Central,Norfolk,17.43
Central,Mount Pleasant,17.14
Central,Portage,16.28
Central,Grand Island,15.96
Central,Arlington Heights,14.112
Central,Baytown,10.368
Central,Iowa City,9.99
Central,Romeoville,8.952
Central,Deer Park,6.924
Central,Missouri City,6.37
Central,Keller,6.0
Central,Abilene,1.392
East,New York City,256368.161
East,Philadelphia,109077.01300000008
East,Newark,28576.118999999995
East,Lakewood,16608.363999999994
East,Providence,15980.649999999994
East,Columbus,15900.793000000003
East,Columbia,10962.349999999999
East,Lancaster,9414.020000000002
East,Buffalo,9063.496
East,Burlington,8929.369999999999
East,Long Beach,8521.199999999999
East,Fairfield,8013.273999999999
East,Yonkers,7657.666
East,Wilmington,6553.899
East,Cleveland,6346.1849999999995
East,Baltimore,6156.842
East,Lawrence,6109.062
East,Rochester,6017.13
East,Everett,5661.878
East,Springfield,5613.1669999999995
East,Franklin,5534.558999999999
East,Clinton,5514.251
East,Morristown,5033.099999999999
East,Dover,4878.074
East,Lowell,4837.93
East,Jamestown,4708.79
East,Plainfield,4526.85
East,Troy,4507.090999999999
East,Toledo,4466.053000000001
East,Watertown,4044.998
East,Cranston,4024.9159999999997
East,Parma,3879.756
East,Oceanside,3851.1259999999993
East,Marion,3010.9859999999994
East,Washington,2865.0199999999995
East,Concord,2827.6299999999997
East,Akron,2729.9860000000003
East,Hempstead,2589.586
East,Beverly,2583.1900000000005
East,Medina,2477.722
East,Warwick,2426.84
East,Dublin,2379.16
East,Paterson,2243.2100000000005
East,Manchester,2126.2799999999997
East,Mount Vernon,2119.632
East,Lorain,2015.1109999999999
East,Chester,1968.4789999999998
East,Belleville,1891.6000000000001
East,Bowling Green,1865.565
East,Perth Amboy,1717.0800000000002
East,Bethlehem,1689.634
East,Cincinnati,1611.976
East,Passaic,1562.0860000000002
East,Meriden,1550.68
East,Hackensack,1456.16
East,Auburn,1384.1580000000001
East,Waterbury,1326.06
East,New Rochelle,1255.228
East,Wheeling,1209.824
East,Bangor,1164.45
East,Middletown,1154.6099999999997
East,Milford,961.7400000000001
East,Quincy,946.1749999999998
East,Reading,873.712
East,Allentown,853.252
East,Revere,833.26
East,York,817.9780000000001
East,Bristol,814.5799999999999
East,Mentor,693.1300000000001
East,Utica,655.04
East,Vineland,647.966
East,Rome,534.852
East,Freeport,523.3299999999999
East,Westfield,519.7199999999999
East,Cambridge,502.09
East,Rockville,469.77000000000004
East,Andover,435.84999999999997
East,Norwich,414.03999999999996
East,Gaithersburg,405.91999999999996
East,East Orange,377.27
East,Kent,346.302
East,Clifton,336.82
East,Hamilton,328.224
East,Holyoke,301.96
East,New Bedford,235.97000000000003
East,Malden,228.38
East,Leominster,217.49
East,Orange,211.11
East,Marlborough,206.64
East,Niagara Falls,199.84199999999998
East,Woonsocket,195.54999999999998
East,Bayonne,183.4
East,Laurel,152.59
East,Grove City,123.588
East,Linden,115.36
East,Lewiston,106.08000000000001
East,Mason,94.264
East,Shelton,73.33
East,Lindenhurst,55.48
East,Bridgeton,52.410000000000004
East,Hagerstown,43.8
East,Nashua,35.94
East,Cuyahoga Falls,29.093999999999998
East,Danbury,27.46
East,Atlantic City,23.36
East,Altoona,20.451
East,New Brunswick,14.77
East,Elyria,1.824
South,Jacksonville,44713.183
South,Atlanta,17197.84
South,Springfield,16628.53
South,Henderson,15661.01
South,Columbus,14845.049999999997
South,Arlington,14366.760000000002
South,Charlotte,13693.339000000002
South,Burlington,12681.282
South,Richmond,11902.78
South,Columbia,11330.934
South,Jackson,9543.822
South,Miami,8673.074499999995
South,Florence,7621.720000000001
South,Louisville,7275.39
South,Tallahassee,7250.668999999999
South,Fayetteville,6925.926000000002
South,Roswell,6652.319999999999
South,Nashville,6070.863
South,Chesapeake,5996.72
South,Memphis,5942.341
South,Virginia Beach,5752.13
South,Lakeland,5606.886499999999
South,Alexandria,5519.570000000001
South,Mobile,5462.99
South,Lafayette,5405.75
South,Tampa,5196.080500000002
South,Concord,5111.844
South,Fort Lauderdale,4929.532500000001
South,Raleigh,4507.54
South,Harrisonburg,4388.71
South,Knoxville,3928.166000000001
South,Montgomery,3722.73
South,Little Rock,3560.35
South,Decatur,3374.82
South,Newport News,3321.9500000000003
South,Smyrna,3238.889
South,Waynesboro,3058.7699999999995
South,Monroe,2970.4339999999997
South,Marietta,2938.62
South,Jonesboro,2915.32
South,Hampton,2722.26
South,Huntsville,2484.37
South,Greensboro,2406.7799999999997
South,Hialeah,2338.9489999999996
South,Clarksville,2217.7299999999996
South,Greenville,2117.83
South,Salem,2039.55
South,Sandy Springs,1997.03
South,Georgetown,1786.4200000000003
South,Auburn,1766.8300000000002
South,Orlando,1740.0800000000002
South,Hattiesburg,1722.8400000000001
South,Athens,1720.81
South,Pembroke Pines,1714.3755
South,Saint Petersburg,1690.7920000000001
South,Suffolk,1597.9
South,Miramar,1531.192
South,Asheville,1475.3760000000002
South,Southaven,1455.3899999999999
South,Plantation,1436.8359999999998
South,Bossier City,1417.18
South,Tamarac,1413.51
South,Hollywood,1070.474
South,Chattanooga,988.803
South,Franklin,948.228
South,Apopka,904.554
South,Gastonia,895.06
South,Deltona,893.2399999999999
South,Durham,879.96
South,Coral Springs,824.992
South,Johnson City,765.8480000000002
South,Kissimmee,751.984
South,Wilmington,743.1619999999999
South,Texarkana,654.24
South,Lake Charles,547.41
South,Mount Pleasant,545.94
South,Hoover,525.85
South,Cary,505.208
South,Lebanon,488.896
South,Boynton Beach,469.5850000000001
South,Bristol,436.60200000000003
South,Warner Robins,434.8
South,Summerville,406.93999999999994
South,Wilson,368.73199999999997
South,Macon,364.01000000000005
South,Murfreesboro,337.33299999999997
South,Hendersonville,319.538
South,Conway,301.96
South,Woodstock,286.65000000000003
South,North Charleston,284.25
South,Palm Coast,274.428
South,Daytona Beach,272.3315
South,East Point,268.4
South,Murray,264.62
South,Port Saint Lucie,248.95
South,Hot Springs,245.82999999999998
South,Delray Beach,242.536
South,Sanford,225.54600000000002
South,Pine Bluff,212.91
South,Bowling Green,211.81
South,Tuscaloosa,175.70000000000002
South,Gulfport,166.5
South,Thomasville,151.292
South,West Palm Beach,141.328
South,Homestead,132.552
South,Charlottesville,102.60999999999999
South,Melbourne,95.616
South,Pompano Beach,90.44
South,Kenner,89.32000000000001
South,Bartlett,88.96
South,Owensboro,71.18
South,Coral Gables,64.248
South,Boca Raton,63.007999999999996
South,Hickory,40.764
South,Rogers,40.41
South,Goldsboro,34.944
South,North Miami,22.128
South,Margate,15.552
South,Chapel Hill,14.016
South,Rock Hill,11.85
South,Port Orange,7.824
South,Springdale,4.3
South,Ormond Beach,2.808
South,Pensacola,2.214
South,Jupiter,2.064
West,Los Angeles,175851.341
West,Seattle,119540.742
West,San Francisco,112669.09199999992
West,San Diego,47521.028999999995
West,Denver,12198.793000000001
West,Phoenix,11000.257
West,North Las Vegas,9801.001999999999
West,Anaheim,7986.870000000001
West,Fresno,7888.5284999999985
West,Sacramento,7311.278
West,Tucson,6313.016
West,San Jose,6071.228999999999
West,Oakland,5964.418000000001
West,Springfield,5761.265
West,Brentwood,5090.113999999999
West,Louisville,5070.416
West,Long Beach,4933.830000000001
West,Great Falls,4605.579999999998
West,Santa Barbara,4289.234
West,Gilbert,4172.3820000000005
West,Pasadena,4112.688
West,Aurora,4083.5099999999998
West,Portland,4051.8689999999997
West,Mesa,4037.740000000001
West,Westminster,3826.6459999999997
West,Bellingham,3790.24
West,Colorado Springs,3694.0089999999996
West,Inglewood,3479.3280000000004
West,Des Moines,3454.4380000000006
West,Santa Ana,3366.31
West,Burbank,3247.1580000000004
West,Torrance,3132.268
West,Orem,2994.0879999999997
West,Glendale,2917.865
West,Redlands,2891.021
West,Provo,2761.2339999999995
West,Concord,2602.928
West,Sparks,2561.96
West,Huntington Beach,2527.82
West,Edmonds,2523.6920000000005
West,Albuquerque,2220.16
West,Pasco,2201.112
West,Pleasant Grove,2138.178
West,Gresham,2133.424
West,San Gabriel,2061.01
West,Chico,2050.1780000000003
West,Spokane,2027.9180000000001
West,Redondo Beach,1959.8029999999999
West,Riverside,1944.2459999999999
West,Apple Valley,1915.0810000000001
