Modo_de_envio,Segmento,Total_Pedidos,Ventas_Totales
First Class,Consumer,769,159168.965
First Class,Corporate,485,105858.4698999999
First Class,Home Office,284,86400.98799999998
Same Day,Consumer,317,60596.359000000004
Same Day,Corporate,114,45121.323
Same Day,Home Office,112,22645.442999999996
Second Class,Consumer,1020,231498.9496000004
Second Class,Corporate,609,146126.0388
Second Class,Home Office,316,81568.58100000002
Standard Class,Consumer,3085,710137.071400001
Standard Class,Corporate,1812,409040.53510000004
Standard Class,Home Office,1071,239038.13650000008
