Subcategoria,Region,Ventas_Totales,Ganancia_Total
Accessories,Central,33956.07600000001,7251.630600000002
Accessories,East,45033.37200000001,11195.8644
Accessories,South,27276.753999999997,7004.542399999999
Accessories,West,61114.11600000002,16484.598300000005
Appliances,Central,23582.03299999999,-2638.6175000000007
Appliances,East,34188.46599999999,8391.413399999998
Appliances,South,19525.326000000005,4123.939600000001
Appliances,West,30236.33599999999,8261.2699
Art,Central,5765.340000000002,1195.1590999999992
Art,East,7485.764,1899.9443
Art,South,4655.622000000002,1058.5865999999996
Art,West,9212.066000000003,2374.0969999999998
Binders,Central,56923.28200000003,-1043.6369000000018
Binders,East,53497.99699999995,11267.934599999995
Binders,South,37030.341,3900.6639999999993
Binders,West,55961.11300000001,16096.801600000013
Bookcases,Central,24157.176799999994,-1997.9043
Bookcases,East,43819.333999999995,-1167.6317999999992
Bookcases,South,10899.362,1339.4918000000002
Bookcases,West,36004.123500000016,-1646.5117000000002
Chairs,Central,85230.64599999995,6592.722100000004
Chairs,East,96260.68299999995,9357.770599999998
Chairs,South,45176.445999999974,6612.089299999999
Chairs,West,101781.32799999989,4027.5843
Copiers,Central,37259.57,15608.841300000002
Copiers,East,53219.462000000014,17022.8418
Copiers,South,9299.756000000001,3658.9067
Copiers,West,49749.242,19327.2351
Envelopes,Central,4636.872000000001,1777.5283000000002
Envelopes,East,4375.874,1812.409
Envelopes,South,3345.556,1465.477
Envelopes,West,4118.100000000001,1908.7624000000003
Fasteners,Central,778.0300000000003,236.61859999999996
Fasteners,East,819.7179999999997,263.9908000000001
Fasteners,South,503.31600000000003,173.71810000000002
Fasteners,West,923.2160000000001,275.19070000000005
Furnishings,Central,15254.369999999986,-3906.216800000001
Furnishings,East,29071.38,5881.407100000002
Furnishings,South,17306.683999999997,3442.682899999999
Furnishings,West,30072.729999999978,7641.2703999999985
Labels,Central,2451.472,1073.0794000000003
Labels,East,2602.934,1129.2799999999995
Labels,South,2353.1800000000003,1040.7722999999999
Labels,West,5078.726000000001,2303.1222999999995
Machines,Central,26797.384000000005,-1486.0666
Machines,East,66106.16500000001,6928.642900000001
Machines,South,53890.96,-1438.893000000001
Machines,West,42444.122,-618.9264000000002
Paper,Central,17491.902000000002,6971.900499999994
Paper,East,20172.601999999973,9015.370999999997
Paper,South,14150.984,5947.0614
Paper,West,26663.717999999983,12119.23639999999
Phones,Central,72403.28199999998,12323.02670000001
Phones,East,100614.98200000003,12314.686000000007
Phones,South,58304.437999999995,10767.275300000001
Phones,West,98684.35200000001,9110.742600000012
Storage,Central,45930.11200000004,1969.8365000000003
Storage,East,71612.58400000002,8389.371200000001
Storage,South,35768.05999999997,2274.2965000000004
Storage,West,70532.85199999998,8645.322199999993
Supplies,Central,9467.372000000001,-661.8881
Supplies,East,10760.116000000005,-1155.1351999999997
Supplies,South,8318.928000000002,1.8772999999999822
Supplies,West,18127.121999999992,626.0464999999998
Tables,Central,39154.971,-3559.650399999999
Tables,East,39139.80700000001,-11025.3801
Tables,South,43916.191999999995,-4623.0579
Tables,West,84754.56199999998,1482.6073000000004
